awk	mawk
bash	bash
bzip2	bzip2
coreutils	coreutils
cron	cron
curl	curl
dnsutils	dnsutils
emacs	emacs-nox
file	file
findutils	findutils
gettext	gettext
gnupg	gnupg
grep	grep
gzip	gzip
jq	jq
less	less
links	links
logrotate	logrotate
lynx	lynx
mtr	mtr
nano	nano
netcat	netcat
openjdk8	openjdk-8-jdk-headless
openjdk8-jre	openjdk-8-jre-headless
openssh-client	openssh-client
openssh-server	openssh-server
pdsh	pdsh
ping	iputils-ping
pkzip	unzip zip
python2	python2
python3	python3
rsync	rsync
sed	sed
tar	tar
tcpdump	tcpdump
traceroute	traceroute
tzdata	tzdata
vim	vim
wget	wget
which	debianutils
